City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Comodoro Rivadavia,-45.87,-67.5,59.0,50,69,27.51,AR,2020-04-05 02:56:20,0,0
1,East London,-33.02,27.91,71.89,65,0,12.19,ZA,2020-04-05 03:08:00,0,0
2,Rikitea,-23.12,-134.97,75.63,77,8,18.41,PF,2020-04-05 03:08:00,0,0
3,Flin Flon,54.77,-101.86,12.72,93,99,4.14,CA,2020-04-05 03:07:01,0,0
4,Barrow,71.29,-156.79,17.6,78,90,12.75,US,2020-04-05 03:08:01,0,0
5,Vila Velha,-20.33,-40.29,77.0,69,90,8.05,BR,2020-04-05 02:55:10,0,0
6,Albany,42.6,-73.97,53.6,66,75,5.82,US,2020-04-05 03:08:01,0,0
7,Plaster Rock,46.91,-67.39,39.2,60,90,3.36,CA,2020-04-05 02:59:22,0,0
8,Dunedin,-45.87,170.5,61.0,74,85,19.04,NZ,2020-04-05 02:56:04,0,0
9,Nouadhibou,20.93,-17.03,68.0,88,75,16.11,MR,2020-04-05 02:59:23,0,0
10,Yellowknife,62.46,-114.35,14.0,51,20,6.31,CA,2020-04-05 03:08:02,0,0
11,Richards Bay,-28.78,32.04,69.13,86,7,15.17,ZA,2020-04-05 03:08:02,0,0
12,Ca Mau,9.18,105.15,91.53,47,43,15.28,VN,2020-04-05 02:56:59,0,0
13,Port Alfred,-33.59,26.89,64.99,92,2,7.0,ZA,2020-04-05 03:08:02,0,0
14,Chokurdakh,70.63,147.92,3.9,90,0,10.71,RU,2020-04-05 03:08:03,0,0
15,Cape Town,-33.93,18.42,60.8,100,99,5.82,ZA,2020-04-05 03:06:59,0,0
16,Broome,42.25,-75.83,48.99,81,90,5.82,US,2020-04-05 02:59:26,0,0
17,Ushuaia,-54.8,-68.3,39.2,86,20,9.17,AR,2020-04-05 03:08:03,0,0
18,Huangnihe,43.56,128.02,39.09,49,0,15.14,CN,2020-04-05 02:59:27,0,0
19,Palmer,42.16,-72.33,50.0,71,90,4.7,US,2020-04-05 03:08:04,0,0
20,Wooster,40.81,-81.94,59.0,71,90,1.52,US,2020-04-05 02:59:28,0,0
21,Padang,-0.95,100.35,80.29,79,100,5.1,ID,2020-04-05 02:59:28,1.13,0
22,Ribeira Grande,38.52,-28.7,58.51,76,14,9.24,PT,2020-04-05 03:08:05,0,0
23,Tazovskiy,67.47,78.7,34.27,96,100,19.93,RU,2020-04-05 03:08:05,0,0
